,user_id,treatment_group,seats_purchased,user_purchased
803,6052982293,treatment,0,0
804,21606912133,control,0,0
805,13617116272,treatment_B,0,0
806,2691437172,control,0,0
807,17505421129,treatment,0,0
808,16075809190,treatment,0,0
809,3101174354,control,0,0
810,8243394,treatment_B,1,1
811,8243394,treatment_B,1,1
812,8243394,treatment_B,1,1
813,1431841466,control,1,1
814,3879662344,treatment,3,1
815,20985773419,control,0,0
816,17411099251,control,0,0
817,23299635586,treatment_B,0,0
818,3644847089,treatment,0,0
819,195249425,treatment,0,0
820,20265188357,treatment,3,1
821,11382281217,treatment,0,0
822,18760664727,treatment_B,0,0
823,16868833024,treatment,0,0
824,227561151,control,1,1
825,2125576225,control,0,0
826,14800117075,treatment,0,0
827,276391025,control,0,0
828,19665420188,treatment_B,0,0
829,23547807081,treatment_B,0,0
830,19783241019,treatment,1,1
831,14941463568,control,1,1
832,16710106859,control,0,0
833,8694841355,treatment_B,1,1
834,8694841355,treatment_B,1,1
835,22970623674,treatment_B,9,1
836,22970623674,treatment_B,1,1
837,22970623674,treatment_B,1,1
838,23515025143,control,0,0
839,328295954,treatment_B,0,0
840,20580776222,control,0,0
841,19353607592,control,0,0
842,23631917614,treatment_B,0,0
843,23577519355,treatment_B,0,0
844,15234759256,control,0,0
845,22180913924,treatment,0,0
846,9448527869,treatment_B,1,1
847,23394592824,treatment_B,0,0
848,20213625265,treatment,0,0
849,244677475,control,0,0
850,3697384801,control,1,1
851,19729727130,control,0,0
852,398762908,treatment_B,0,0
853,243042981,treatment_B,1,1
854,2021215644,treatment,2,1
855,23388413196,control,0,0
856,17861758943,treatment_B,0,0
857,193485261,treatment_B,0,0
858,241663615,treatment_B,4,1
859,3336292089,treatment_B,0,0
860,12644981574,treatment,0,0
861,13683402356,treatment_B,1,1
862,13683402356,treatment_B,1,1
863,13683402356,treatment_B,1,1
864,13683402356,treatment_B,1,1
865,183142364,treatment_B,5,1
866,23503140432,control,0,0
867,23064271524,treatment,0,0
868,3706989178,control,0,0
869,23523727995,treatment_B,0,0
870,23375069321,treatment_B,0,0
871,13957589534,control,1,1
872,230065391,treatment_B,0,0
873,3403378504,treatment,10,1
874,23535789677,treatment,0,0
875,2635484997,treatment_B,0,0
876,16003869507,control,0,0
877,17942635924,treatment,0,0
878,6954905808,treatment,0,0
879,263002286,control,0,0
880,17954098890,treatment,2,1
881,17954098890,treatment,1,1
882,17954098890,treatment,1,1
883,17954098890,treatment,1,1
884,19092289684,control,20,1
885,18613994665,control,2,1
886,16578580227,control,0,0
887,8312208306,treatment,1,1
888,8312208306,treatment,1,1
889,21341619545,treatment,0,0
890,22944653515,treatment_B,1,1
891,22944653515,treatment_B,20,1
892,12392990586,treatment,0,0
893,23529454378,treatment_B,0,0
894,271257705,treatment_B,0,0
895,18266480361,control,0,0
896,207333196,treatment_B,0,0
897,18397171844,control,0,0
898,19360091043,treatment_B,0,0
899,1828468328,treatment,0,0
900,14140961597,treatment,0,0
901,22678795280,control,0,0
902,204517351,treatment_B,1,1
903,1950273189,treatment_B,1,1
904,23364411217,treatment,0,0
905,7475504433,treatment,0,0
906,23206457665,treatment_B,0,0
907,595969529,treatment,0,0
908,17366313929,control,0,0
909,12763251169,control,0,0
910,3527162136,treatment,0,0
911,18321481090,treatment,0,0
912,18678596185,treatment_B,1,1
913,1524716613,control,0,0
914,16740489363,treatment_B,0,0
915,198041699,treatment,2,1
916,7604671737,treatment_B,1,1
917,1701751130,treatment,2,1
918,12835977067,treatment_B,0,0
919,21340015803,treatment,0,0
920,23555837412,control,0,0
921,23374128377,control,0,0
922,16806907773,treatment_B,0,0
923,20194580046,treatment_B,0,0
924,1180456831,treatment,1,1
925,1180456831,treatment,4,1
926,10114596932,control,0,0
927,20083942784,treatment_B,0,0
928,14534212003,control,0,0
929,240484361,treatment_B,0,0
930,19692636712,treatment,0,0
931,14855485448,treatment,0,0
932,17847559328,control,0,0
933,13286362392,control,1,1
934,13286362392,control,1,1
935,2339588839,treatment_B,0,0
936,15433292533,treatment,2,1
937,23355308103,treatment,0,0
